Rk,Wk,Date,Time,Day,Winner,Pts,,Loser,Pts,TV,Notes
1,1,Aug 26 2017,3:00 PM,Sat,Brigham Young,20,,Portland State,6,,LaVell Edwards Stadium - Provo Utah
2,1,Aug 26 2017,2:30 PM,Sat,Colorado State,58,,Oregon State,27,,Sonny Lubick Field at Colorado State Stadium - Fort Collins Colorado
3,1,Aug 26 2017,6:00 PM,Sat,Hawaii,38,@,Massachusetts,35,,Warren McGuirk Alumni Stadium - Amherst Massachusetts
4,1,Aug 26 2017,7:30 PM,Sat,(19) South Florida,42,@,San Jose State,22,,CEFCU Stadium - San Jose California
5,1,Aug 26 2017,10:00 PM,Sat,(14) Stanford,62,,Rice,7,,Allianz Stadium - Sydney AUS
6,2,Aug 31 2017,10:30 PM,Thu,Arizona State,37,,New Mexico State,31,,Sun Devil Stadium - Tempe Arizona
7,2,Aug 31 2017,8:00 PM,Thu,Arkansas,49,,Florida A&M,7,,War Memorial Stadium - Little Rock Arkansas
8,2,Aug 31 2017,6:00 PM,Thu,Central Florida,61,,Florida International,17,,Spectrum Stadium - Orlando Florida
9,2,Aug 31 2017,7:00 PM,Thu,Central Michigan,30,,Rhode Island,27,,Kelly/Shorts Stadium - Mount Pleasant Michigan
10,2,Aug 31 2017,7:00 PM,Thu,Cincinnati,26,,Austin Peay,14,,Nippert Stadium - Cincinnati Ohio
11,2,Aug 31 2017,7:30 PM,Thu,Connecticut,27,,Holy Cross,20,,Pratt & Whitney Stadium at Rentschler Field - East Hartford Connecticut
12,2,Aug 31 2017,9:00 PM,Thu,Idaho,28,,Sacramento State,6,,Kibbie-Asui Activity Center - Moscow Idaho
13,2,Aug 31 2017,9:00 PM,Thu,Memphis,37,,Louisiana-Monroe,29,,Liberty Bowl Memorial Stadium - Memphis Tennessee
14,2,Aug 31 2017,7:00 PM,Thu,Minnesota,17,,Buffalo,7,,TCF Bank Stadium - Minneapolis Minnesota
15,2,Aug 31 2017,8:00 PM,Thu,(2) Ohio State,49,@,Indiana,21,,Memorial Stadium "The Rock" - Bloomington Indiana
