name,region,id,rating,massey,colley,elo,wins,losses,games_played
Holmes,9,116,98.91,92.4,101.73,102.6,36,2,37
Scott County,11,219,97.47,98.82,99.47,94.13,28,4,28
Eastern,7,75,93.14,91.31,96.33,91.77,31,3,32
Jeffersontown,7,124,91.86,90.98,94.23,90.36,27,5,30
Ballard,7,9,90.96,92.1,94.02,86.75,25,7,28
Lexington Catholic,11,140,90.22,88.02,91.34,91.31,26,8,29
Elliott County,16,78,89.86,90.8,87.94,90.84,32,3,30
Boone County,9,24,87.4,89.94,88.07,84.21,26,5,30
Shelby Valley,15,223,86.92,88.44,84.92,87.39,31,5,31
Mason County,10,158,84.56,90.48,80.77,82.42,24,7,27
Franklin County,11,89,84.27,84.48,86.61,81.72,21,5,23
Warren Central,4,252,83.26,85.44,84.74,79.58,25,5,26
Corbin,13,58,82.56,84.23,79.6,83.86,29,4,32
George Rogers Clark,10,95,80.86,83.22,81.03,78.33,25,7,32
Christian County,2,52,80.4,82.12,78.41,80.67,21,7,26
Bryan Station,11,33,80.04,83.68,82.95,73.5,19,8,24
Anderson County,8,4,78.03,79.64,76.78,77.68,24,6,29
Bowling Green,4,26,77.69,76.97,77.59,78.52,26,7,30
Adair County,5,1,77.11,78.9,75.67,76.77,26,8,33
Trinity (Louisville),7,244,76.6,77.97,78.71,73.13,22,8,30
North Hardin,5,181,76.5,83.23,73.03,73.25,22,10,31
Henderson County,2,110,76.17,74.44,78.06,76,24,6,27
Muhlenberg North,3,173,75.12,76.93,73.38,75.07,23,6,26
Taylor County,5,240,75.06,76.5,74.13,74.56,24,7,31
Perry County Central,14,196,75.04,75.85,75.04,74.24,25,6,29
Highlands,9,115,74.83,80.33,73.97,70.19,21,9,29
Scott,10,218,74.67,80.74,73.51,69.76,23,9,30
Tates Creek,11,239,74.41,78.96,72.09,72.17,14,12,26
South Laurel,13,229,73.74,73.28,73.83,74.12,23,9,31
West Jessamine,12,258,73.52,74.42,69.7,76.43,28,9,35
