name,region,id,rating,massey,colley,elo,wins,losses,games_played
Mason County,10,159,94.92,92.8,93.07,98.9,35,2,36
Highlands,9,117,91.52,91.54,95.46,87.56,27,3,28
Henry Clay,11,113,90.06,89.62,91.48,89.07,28,5,33
Ballard,7,9,89.04,89.55,89.53,88.03,27,8,28
Lexington Catholic,11,141,88.38,92.67,87.59,84.87,15,17,14
Apollo,3,5,88.02,88,91.37,84.7,27,4,31
Elizabethtown,5,77,87.98,92.68,87.73,83.52,28,3,30
St. Henry,9,236,87.93,87.08,88.44,88.26,30,5,34
Hopkinsville,2,122,87.14,86.92,85.07,89.42,33,3,34
North Hardin,5,182,86.48,89.58,85.53,84.32,25,8,29
Pleasure Ridge Park,6,201,85.72,92.97,84.95,79.23,27,4,27
Warren Central,4,254,84.91,85.71,85.43,83.59,26,4,29
Dixie Heights,9,69,82.9,85.25,85.66,77.79,24,5,23
Perry County Central,14,196,82.08,78.98,83.62,83.65,28,4,28
Eastern,7,75,82.07,82.65,85.85,77.71,23,9,31
Muhlenberg North,3,174,81.94,80.73,83.18,81.89,27,3,30
Simon Kenton,9,227,81.65,85.28,82.16,77.49,22,8,28
Tates Creek,11,240,81.15,85.02,83.59,74.83,21,6,27
Wayne County,12,257,80.69,77.28,83.44,81.36,26,2,25
Daviess County,3,64,80.6,82.81,78.51,80.47,27,7,33
South Laurel,12,230,80.33,79.68,81.73,79.57,27,6,33
Rose Hill Christian,16,212,80.06,83.38,79.35,77.45,27,9,34
Scott County,8,220,79.12,84.27,80.56,72.52,18,8,21
Iroquois,6,123,77.82,79.85,78.22,75.37,25,9,33
West Jessamine,11,260,77.42,83.31,76.62,72.34,17,12,26
Henderson County,2,112,77.09,80.38,75.05,75.84,17,9,18
North Laurel,12,183,76.67,78.09,77.99,73.92,22,9,27
Lafayette,11,135,75.26,80.53,77.24,68.01,18,9,25
Oldham County,8,185,74.99,75.73,71.74,77.5,26,7,33
Rockcastle County,13,211,74.68,73.41,76.23,74.41,24,5,29
Ryle,9,217,73.99,82.32,72.43,67.21,16,11,25
St. Xavier,7,239,73.94,81.18,76.36,64.27,21,6,25
Covington Catholic,9,59,73.56,82.61,72.9,65.16,18,10,25
George Rogers Clark,10,97,73.41,77.82,70.85,71.57,22,11,32
Paintsville,15,192,73.2,73.29,71.08,75.24,24,4,28
Bishop Brossart,10,23,72.92,78.24,71.25,69.28,23,8,30
Holmes,9,118,71.93,74.76,70.82,70.2,17,13,29
Powell County,14,203,71.34,68.03,71.41,74.57,25,6,31
Mayfield,1,160,71.08,70.97,71.22,71.05,26,6,30
Male,7,156,70.47,78.28,64.21,68.91,17,14,24
Breathitt County,14,30,70.13,72.06,71.05,67.29,22,7,29
Barren County,4,13,69.85,74.58,67.68,67.3,24,5,28
Christian County,2,52,69.51,73.33,67.19,68.02,17,10,23
Madison Central,11,152,69.43,76.06,67.54,64.68,15,12,27
Pulaski County,12,206,68.88,74.5,66.48,65.68,17,9,26
Ashland Blazer,16,6,68.84,71.94,65.01,69.57,21,9,26
Frankfort,11,90,68.51,74.47,67.52,63.55,21,10,29
Bowling Green,4,26,68.47,75.46,64.57,65.38,21,10,30
Fern Creek,7,85,68.19,73.84,67.19,63.53,17,11,27
Trinity (Louisville),7,245,67.83,77.46,64.18,61.84,17,13,27
Butler,6,37,67.41,73.88,64.01,64.33,17,11,25
Bullitt East,8,35,67.34,71.52,65.5,65.02,22,6,28
Corbin,13,57,67.27,73.06,64.36,64.38,18,11,25
Morgan County,16,173,67.17,72.36,63.04,66.1,25,6,29
Hazard,14,110,66.84,67.56,63.64,69.31,19,10,29
Glasgow,4,98,66.79,68.23,65.61,66.54,19,8,27
Grant County,8,99,66.74,68.69,63.29,68.23,20,11,30
Paducah Tilghman,1,191,66.63,68.81,64.14,66.95,16,11,18
Knox Central,13,133,66.57,63.73,68.84,67.16,20,9,27
Owensboro Catholic,3,189,66.56,71.22,64.12,64.36,16,11,24
Owensboro,3,188,66.42,72.57,63.71,62.98,13,13,19
Anderson County,8,4,66.21,71.24,62.45,64.93,19,9,27
Taylor County,5,241,65.91,69.75,63.16,64.81,19,9,28
DeSales,6,67,65.84,75.01,59.59,62.93,15,13,28
Campbellsville,5,43,65.27,72.82,63.3,59.71,19,8,23
Shelby Valley,15,224,65.02,67.84,61.79,65.44,21,10,29
Heath,1,111,64.42,62.49,63.97,66.79,23,5,28
Calloway County,1,40,64.19,66.14,58.71,67.72,19,12,26
Paul Laurence Dunbar,11,194,63.75,77.68,59.78,53.78,13,16,26
Graves County,1,100,62.73,70.06,57.85,60.3,17,11,21
Fairdale,6,83,62.57,69.64,57.98,60.11,15,10,22
Doss,6,70,62.3,75.41,58.57,52.93,16,13,24
East Jessamine,11,73,61.82,64.46,60.43,60.57,16,9,24
Adair County,5,1,61.54,69.18,57.87,57.57,17,9,26
Meade County,5,163,61.43,69.76,57,57.52,16,12,28
Clay County,13,54,61.28,68.78,58.94,56.11,16,11,26
Mercer County,12,165,61.11,68.42,57.41,57.49,19,10,28
Newport Central Catholic,9,179,61.07,69.84,57.94,55.43,14,15,29
Conner,9,56,60.71,73.26,56.14,52.74,10,14,24
Harrison County,10,107,60.48,62.93,58.7,59.82,17,8,25
Moore,7,172,59.86,70.77,55.11,53.71,16,11,21
Bethlehem,5,21,59.84,66.51,58.57,54.44,19,9,27
Johnson Central,15,129,59.79,67.12,55.84,56.41,17,11,27
Holy Cross (Covington),9,119,59.29,70.41,52.48,54.99,12,16,22
Shelby County,8,223,59.23,66.63,54.66,56.39,11,15,25
Boyle County,12,28,59.1,68.2,56,53.09,16,11,24
Carlisle County,1,44,58.91,65.94,52.82,57.96,19,9,26
Franklin County,11,91,58.57,64.55,57.46,53.68,14,12,26
South Oldham,8,231,58.18,65.12,55.99,53.44,17,9,25
Jeffersontown,7,126,58.09,71.37,52.29,50.61,13,15,25
Seneca,7,221,57.98,70.28,50.75,52.92,10,15,24
Madisonville-North Hopkins,2,154,57.68,65.98,50.01,57.03,17,12,24
Lincoln County,12,143,57.41,70.08,50.6,51.54,13,14,27
South Floyd,15,229,57.35,64.95,53.9,53.21,18,11,29
Boone County,9,24,57.33,68.59,54.3,49.09,10,14,21
Pike County Central,15,198,57.18,63.7,50.82,57.02,17,11,27
Nelson County,5,177,56.67,64.26,51.92,53.82,16,13,29
Monroe County,4,169,56.63,64.42,52.13,53.35,15,14,27
Ludlow,9,149,56.5,62.87,52.4,54.24,19,7,25
Owsley County,14,190,56.21,56.88,54.14,57.62,18,9,27
Ohio County,3,184,56.02,64.25,51.67,52.15,17,12,27
East Carter,16,72,56,61.92,51.07,55,19,11,30
Hopkins County Central,2,121,56,65.85,49.7,52.46,13,11,21
Marshall County,1,158,55.7,66.67,49.17,51.27,17,13,25
Red Bird,13,208,55.68,62.29,50.52,54.21,22,6,28
Franklin-Simpson,4,92,55.45,59.34,51.13,55.89,15,15,27
Bourbon County,10,25,55.39,63.77,47.83,54.57,13,15,28
John Hardin,5,128,55.34,62.99,50.89,52.12,15,12,25
Bell County,13,17,55.14,57.92,51.43,56.06,17,11,27
DuPont Manual,7,71,54.91,69.35,46.16,49.22,10,16,25
Raceland,16,207,54.78,62.7,49.92,51.73,21,10,27
East Ridge,15,74,54.53,60.1,47.59,55.89,19,10,25
Russell,16,214,54.51,62.74,48.07,52.71,15,15,29
Somerset,12,228,54.31,59.48,47.22,56.23,13,16,29
Lexington Christian,11,142,54.1,62.14,46.02,54.16,15,12,25
Woodford County,11,269,54.08,66.42,46.71,49.12,10,15,25
Central,6,49,54,70.44,44.92,46.62,11,15,24
Christian Academy-Louisville,7,51,53.97,65.46,47.1,49.35,17,8,23
University Heights,2,248,53.92,65.71,46.34,49.7,10,15,23
Muhlenberg South,3,175,53.9,62.74,49.94,49.03,14,13,27
Madison Southern,11,153,53.69,61.54,50.37,49.16,15,11,26
Trinity (Whitesville),3,246,53.67,59.13,49.82,52.06,18,9,25
LaRue County,5,134,53.65,63.58,48.13,49.25,13,15,28
Lone Oak,1,147,53.37,59.8,47.13,53.18,13,14,27
Jackson County,13,125,53.36,56.88,48.36,54.83,12,14,24
Washington County,5,256,53.15,61.65,47.41,50.39,15,15,30
Lyon County,2,151,53.04,61.81,47.35,49.96,17,10,26
Trigg County,2,243,52.81,59.28,46.3,52.86,18,10,28
Southwestern,12,233,52.5,61.31,44.53,51.67,9,14,23
Hart County,5,109,52.22,60.74,48.49,47.42,14,12,25
Central Hardin,5,50,52.16,61.44,46.62,48.42,12,14,26
Whitesburg,14,264,52.03,52.41,46.18,57.51,21,10,28
Knott County Central,14,132,51.73,56.13,46.03,53.01,13,14,25
Cawood,13,48,51.43,58.72,48.44,47.15,16,12,28
McCreary Central,12,161,51.19,59.53,44.21,49.82,15,13,26
Estill County,10,80,51.11,58.52,47.02,47.77,15,12,26
Garrard County,12,96,50.97,61.9,46.98,44.02,13,13,26
Williamstown,8,267,50.63,56.87,43.18,51.85,17,11,27
Todd County Central,4,242,50.55,60.81,40.76,50.07,14,10,21
Shawnee,6,222,49.44,61.78,42.44,44.08,13,13,25
Whitley County,13,265,49.36,56.67,46.32,45.09,13,12,23
Russellville,4,216,49.25,59.95,40.94,46.87,12,14,25
Boyd County,16,27,49.22,57.36,42.97,47.32,11,16,24
Scott,9,219,49.12,57.41,44.03,45.92,10,21,31
Pendleton County,10,195,48.91,62.11,41.11,43.51,12,17,29
Montgomery County,10,170,48.83,58.2,40.23,48.05,11,17,28
Cumberland,13,61,48.79,50.97,40.88,54.53,16,14,30
Western,6,261,48.79,65.45,40.54,40.37,7,15,21
Union County,2,247,48.5,60.43,44.02,41.04,9,14,21
Allen Central,15,2,48.48,53.34,44.02,48.08,16,10,26
Hickman County,1,116,48.29,59.55,43.53,41.8,16,12,26
Breckinridge County,3,31,48.15,57.8,38.36,48.3,12,16,28
Oneida Baptist Institute,13,186,48.1,54.46,43.24,46.62,14,13,27
Crittenden County,2,60,47.99,58.23,40.76,44.99,17,10,25
West Carter,16,259,47.91,58.81,39.71,45.23,13,14,27
Grayson County,3,101,47.61,61.12,38.05,43.67,10,17,27
Sayre,11,218,47.43,55.58,40.62,46.09,18,8,23
Ballard Memorial,1,10,47.04,52.81,40.33,47.99,11,17,28
