name,region,rating,wins,losses,massey,colley,elo
Scott County,8,94.12,36,2,96.7,99.06,86.61
Madison Central,11,91.11,30,5,94.35,97.16,81.83
Ballard,7,90.45,31,7,91.16,96.07,84.13
Pleasure Ridge Park,6,87.66,26,2,95.52,90.93,76.53
Highlands,9,83.99,25,6,90.33,86.77,74.88
Henderson County,2,82.81,26,6,84.91,87.1,76.43
Simon Kenton,9,82.53,26,5,90.16,87.42,70
Paducah Tilghman,1,82.45,30,6,87.92,82.94,76.49
Lexington Catholic,11,81.29,25,5,91.26,81.54,71.08
Clay County,13,79.87,26,4,81.71,83.95,73.96
Bowling Green,4,79.65,27,1,85.27,78.65,75.03
Holmes,9,78.09,22,5,83.38,83.41,67.48
Muhlenberg North,3,77.68,27,8,83.47,78.51,71.05
Madisonville-North Hopkins,2,75.64,23,5,80.21,79.28,67.43
Tates Creek,11,75.62,25,5,79.92,79.13,67.81
Graves County,1,75.44,24,4,79.06,77.21,70.05
Franklin County,11,74.76,23,7,81.07,77.4,65.81
Russellville,4,74.67,24,6,80.96,74.76,68.28
North Hardin,5,74.55,26,6,79.08,74.15,70.43
Perry County Central,14,74.34,21,7,76.55,76.46,70
Christian County,2,74.16,24,7,80.44,77.04,65
Fleming County,10,74.15,24,9,77.26,75.07,70.12
Pikeville,15,73.42,30,6,69.61,75.6,75.04
Harlan,13,73.34,27,6,72.24,76.16,71.62
Paul Laurence Dunbar,11,73.28,21,10,81.74,75.47,62.64
Shelby County,8,73.19,23,7,79.53,73.54,66.5
Holy Cross (Covington),9,72.57,19,5,76.53,74.09,67.1
St. Xavier,7,72.5,20,9,76.82,75,65.67
Boyle County,12,72.27,18,8,80.25,70.48,66.1
Valley,6,71.87,18,5,76.46,74.4,64.74
Corbin,13,71.28,26,5,76.68,71.97,65.2
South Laurel,12,71.04,26,8,77.9,70.85,64.39
Male,7,70.97,19,10,80.88,73.15,58.89
Nelson County,5,70.41,24,6,76.3,67.97,66.96
Gallatin County,8,70.22,29,3,72.76,70.64,67.26
George Rogers Clark,10,70.11,21,7,75.85,72.16,62.3
Glasgow,4,69.42,25,3,71.49,67.99,68.79
Marshall County,1,69.26,25,5,72.71,69.62,65.45
Ohio County,3,69.26,18,6,76.74,69.42,61.61
