name,region,id,rating,massey,colley,elo,wins,losses,games_played
Lexington Catholic,11,144,102.12,100.84,104.55,100.98,33,2,28
Male,7,159,95.77,95.48,97.3,94.52,29,8,31
North Hardin,5,187,94.25,99.24,92.67,90.82,31,5,31
Paducah Tilghman,1,196,89.57,91.31,88.66,88.75,29,6,26
Scott County,8,226,89.4,94.58,90.68,82.93,26,5,22
Covington Catholic,9,61,88.98,90.64,92.37,83.93,25,5,27
Ballard,7,10,88.58,94.14,88.96,82.63,27,6,25
Mason County,10,162,86.76,85.97,87.82,86.5,28,6,32
Oldham County,8,190,85.68,86.14,84.78,86.12,29,3,29
Dixie Heights,9,71,85.48,89.4,85.01,82.02,25,5,29
Butler,6,39,85.29,91.62,85.08,79.17,26,6,27
Highlands,9,120,84.49,89.35,85.33,78.8,23,8,31
Christian County,2,54,82.51,83.73,83.95,79.87,26,5,27
Shelby County,8,229,82.41,89.36,82.67,75.22,24,8,30
Bourbon County,10,26,82.34,83.63,84.39,79,24,7,30
East Jessamine,11,75,81.98,87.73,82.94,75.27,24,7,26
Pleasure Ridge Park,6,207,81.44,90.08,79.15,75.1,24,8,27
Elizabethtown,5,78,81.42,86.34,80.68,77.24,26,5,31
Daviess County,3,66,81.29,84.91,84.56,74.4,25,6,24
Warren Central,4,259,80.8,85.31,76.99,80.09,28,4,30
Owensboro,3,193,80.21,82.91,79.68,78.03,22,11,28
Tates Creek,11,245,80.03,82.6,83.1,74.39,22,7,26
Ryle,9,223,79.73,83.6,77.19,78.41,24,10,33
Muhlenberg North,3,179,78.84,82.14,81.45,72.92,25,5,29
St. Xavier,7,244,78.51,86.49,79.45,69.6,19,9,26
Wayne County,12,262,78.39,80.37,78.33,76.46,30,3,31
Henderson County,2,115,78.05,79.57,80.62,73.96,22,7,20
St. Henry,9,241,77.92,85.62,76.76,71.38,22,9,29
Montgomery County,10,175,76.7,78.87,77.01,74.21,25,7,31
Scott,9,225,76.53,82.05,77.43,70.12,21,8,29
Perry County Central,14,201,76.08,74.27,75.67,78.31,26,2,28
Ashland Blazer,16,7,75.83,78.32,72.46,76.69,25,6,28
Simon Kenton,9,233,75.49,82.9,75.8,67.76,17,10,27
DeSales,6,69,74.59,81.04,71.37,71.35,21,7,28
Apollo,3,6,73.66,80.82,74.72,65.44,18,9,23
Moore,7,177,73.56,84.44,69.62,66.62,20,9,29
Henry Clay,11,116,73.47,79.04,70.89,70.48,19,12,31
Rose Hill Christian,16,218,73.39,77.82,74.82,67.54,27,4,25
Ohio County,3,189,72.05,76.07,70.21,69.86,24,8,30
West Jessamine,11,265,71.21,81.09,69.05,63.5,17,9,26
Whitesburg,14,269,70.95,66.78,68.58,77.5,30,6,35
Shelby Valley,15,230,70.25,66.56,67.73,76.45,25,7,31
Glasgow,4,101,70.21,73.82,68.23,68.59,22,9,29
Marshall County,1,161,70.08,72.46,68.04,69.74,23,9,28
LaRue County,5,137,69.83,75.69,70.01,63.79,23,6,27
Holmes,9,121,69.02,74.68,67.61,64.78,17,12,28
University Heights,2,253,68.73,73.48,68.75,63.97,20,10,25
Bell County,13,18,68.52,70.32,66.4,68.83,20,7,25
St. Mary,1,242,68.41,73.57,67.59,64.07,19,11,28
Frankfort,11,93,68.29,79.27,63.84,61.75,18,9,24
Grayson County,3,104,68.06,72.1,64.95,67.14,21,8,28
Somerset,12,234,67.15,69.07,66.43,65.96,23,8,28
Todd County Central,4,247,66.98,71.86,63.72,65.36,23,8,30
Paintsville,15,197,66.81,70.15,63.4,66.88,24,9,30
Trinity (Louisville),7,250,66.75,82.55,63.62,54.06,16,12,25
George Rogers Clark,10,100,66.68,74.46,64.78,60.78,18,10,24
Rockcastle County,13,217,66.63,65.5,63.54,70.86,25,8,33
Rowan County,16,219,66.34,69.96,65.57,63.5,24,6,30
Danville,12,65,66.32,68.69,63.56,66.7,23,8,29
Calloway County,1,42,66.23,72.63,62.72,63.33,21,8,26
Cawood,13,50,66.07,70.66,63.63,63.92,25,7,32
Boyle County,12,29,65.61,70.65,60.45,65.72,18,12,29
Iroquois,6,126,65.48,77.12,58.9,60.42,15,14,26
Seneca,7,227,65.28,79.9,58.96,56.98,11,17,28
Fairdale,6,85,65.1,77.18,59.15,58.96,15,14,26
Taylor County,5,246,64.72,71.4,61.63,61.11,22,8,29
Madison Central,11,155,64.62,73.67,61.17,59.01,14,16,29
Paul Laurence Dunbar,11,199,64.47,73.37,63,57.05,16,14,29
Corbin,13,59,64.18,68.26,60.06,64.23,21,8,28
Morgan County,16,178,63.91,66.11,61.04,64.57,22,8,30
Webster County,2,263,63.74,75.87,57.62,57.73,16,10,20
Clay County,13,56,63.54,67.87,58.43,64.3,18,13,30
South Floyd,15,235,63.47,67.77,57.19,65.45,21,10,28
Eastern,7,76,63.3,78.01,58.29,53.6,11,16,24
