Rank,Name_Of_Team,Rating,In_State_Record,Total_Record
1,Covington Catholic,92.93,13-0,14-0
2,Frederick Douglass,87.33,14-0,14-0
3,Owensboro,82.51,12-1,12-2
4,South Oldham,81.64,11-2,11-2
5,South Warren,77.69,10-2,10-2
6,Scott County,77.62,9-2,10-2
7,Bowling Green,76.26,9-3,9-4
8,Highlands,66.64,6-4,6-5
9,Conner,65.96,8-4,8-4
10,Pulaski County,62.9,7-4,7-4
11,East Jessamine,62.1,9-3,9-3
12,Fairdale,62.03,11-2,11-2
13,Cooper,59.36,5-6,5-6
14,Graves County,58.15,7-5,7-5
15,Southwestern,58.08,7-6,7-6
16,Whitley County,57.39,7-4,8-4
17,Madison Southern,55.31,7-6,7-6
18,North Bullitt,54.34,7-5,7-5
19,Grayson County,49,7-4,7-4
20,North Laurel,47.65,5-6,5-6
21,Woodford County,46.46,6-5,6-5
22,Greenwood,45.21,5-6,5-6
23,Bullitt Central,44.75,5-7,5-7
24,Montgomery County,41.91,3-8,3-8
25,Breckinridge County,41.03,6-4,6-4
26,Doss,39.36,5-6,5-6
27,Atherton,39.33,5-6,5-6
28,Muhlenberg County,38.93,4-7,4-7
29,Boone County,38.65,2-8,2-8
30,Ohio County,38.03,4-6,4-6
31,Collins,36.59,2-9,2-9
32,Jeffersontown,35.95,4-7,4-7
33,Grant County,35.48,4-6,4-6
34,Christian County,34.51,0-10,0-11
35,South Laurel,33.07,2-8,2-8
36,Great Crossing,27.47,1-10,1-10
37,Iroquois,24.41,2-9,2-9
38,Seneca,23.39,2-8,2-8
39,West Jessamine,18,0-10,0-10
40,Western,9.04,0-10,0-10
