Rank,Name_Of_Team,Rating,In_State_Record,Total_Record
1,Pikeville,84.57,12-0,14-0
2,Kentucky Country Day,71.55,13-1,13-1
3,Paintsville,69.93,10-4,11-4
4,Newport Central Catholic,65.78,10-2,10-3
5,Williamsburg,64.4,9-3,10-3
6,Holy Cross (Louisville),63.95,10-3,11-3
7,Raceland,57.88,6-5,7-5
8,Hazard,56.24,7-5,7-5
9,Eminence,56.13,9-3,9-3
10,Crittenden County,54.98,10-3,10-3
11,Bethlehem,52.41,8-2,8-3
12,Campbellsville,49.34,6-5,6-5
13,Ludlow,49.06,8-4,8-4
14,Nicholas County,48.43,9-4,9-4
15,Pineville,43.65,7-3,8-3
16,Lynn Camp,40.89,5-6,5-6
17,Berea,40.23,6-4,7-4
18,Phelps,37,4-6,4-7
19,Bishop Brossart,36.48,7-5,7-5
20,Frankfort,35.74,4-7,4-7
21,Fulton County,31.03,3-4,6-5
22,Russellville,30.14,4-8,4-8
23,Betsy Layne,28.82,4-7,4-7
24,Fairview,26.68,2-6,3-7
25,Dayton,26.64,4-7,4-7
26,Bellevue,24.4,2-8,2-9
27,Harlan,24.34,1-9,1-10
28,Fort Knox,23.84,3-8,3-8
29,Jenkins,21.88,0-7,0-9
30,Paris,17.45,2-9,2-9
31,Bracken County,9.94,0-10,0-11
32,Caverna,9.31,1-10,1-10
