Rank,Name,Rating,InState,Total,
1,Somerset,87.18,14-1,14-1,
2,Mayfield,81.2,12-2,13-2,
3,Lexington Christian,76.76,9-2,10-2,
4,Breathitt County,68.65,13-1,13-1,
5,Beechwood,66.69,8-5,8-6,
6,Shelby Valley,63.53,9-2,9-3,
7,Caldwell County,60.05,8-3,8-3,
8,West Carter,59.49,9-4,9-4,
9,Murray,59.03,8-4,8-4,
10,Owensboro Catholic,58.07,8-3,9-3,
11,Walton-Verona,54.75,8-4,8-5,
12,Newport,53.9,8-4,8-4,
13,Lloyd Memorial,53.53,6-5,6-5,
14,Martin County,50.73,7-4,7-4,
15,Danville,50.38,3-7,3-7,
16,McLean County,50.36,8-5,8-5,
17,Middlesboro,47.9,8-4,8-4,
18,Washington County,47.02,5-6,5-6,
19,Clinton County,41.68,6-3,7-4,
20,Edmonson County,39.3,6-6,6-7,
21,Leslie County,38.83,5-5,5-5,
22,Carroll County,38.39,7-4,7-4,
23,Todd County Central,37.75,6-5,6-5,
24,Monroe County,36.47,5-5,5-6,
25,Bath County,32.39,4-7,4-7,
26,Hancock County,31.49,3-8,3-8,
27,Holy Cross - Covington,30.17,2-8,2-9,
28,Prestonsburg,25.79,2-8,2-8,
29,Owen County,24.25,4-8,4-8,
30,Fort Campbell,22.7,1-10,1-10,
31,Ballard Memorial,20.09,1-9,1-9,
32,Knott County Central,19.18,2-9,2-9,
33,Metcalfe County,18.08,1-9,1-9,
34,East Ridge,17.83,1-8,1-9,
35,Butler County,17.24,1-9,1-9,
36,Green County,16.95,1-10,1-10,
37,Morgan County,10.29,0-10,0-10,
38,Gallatin County,9.8,1-9,1-10,
39,Shawnee,-3.44,0-9,0-9,
