name,region,id,rating,massey,colley,elo,wins,losses,games_played
Trinity (Louisville),6,187,99.81,101.39,97.94,100.09,13,2,14
St. Xavier,6,186,99.49,99.49,104.71,94.28,14,1,15
Highlands,5,149,99.05,98.4,103.4,95.35,15,0,14
Bowling Green,5,150,91.21,92.37,92.58,88.69,13,2,15
Lexington Catholic,4,115,85.72,83.55,87.33,86.28,13,2,14
DuPont Manual,6,189,85.64,89.26,90.35,77.3,10,2,12
Henry Clay,6,188,84.89,86.06,86.04,82.55,10,2,11
Belfry,3,75,82.21,74.9,85.86,85.85,14,1,15
Newport Central Catholic,2,66,79.93,76.86,79.07,83.85,13,2,15
Owensboro,5,152,79.47,77.15,85.31,75.94,12,2,13
Lincoln County,5,155,79.42,75.91,82.82,79.52,11,3,14
Male,6,190,78.72,83.45,79.89,72.82,10,3,13
Boone County,6,191,78.48,80.4,80.91,74.14,10,4,14
Beechwood,1,3,77.72,73.23,78.37,81.57,13,2,15
Scott County,6,193,77.65,78.9,84.32,69.72,9,2,11
Bell County,4,116,77.33,75.97,78.48,77.53,12,1,12
John Hardin,5,151,77.27,77.76,80.17,73.89,12,1,13
Fort Campbell,2,50,77.04,71.91,76.54,82.67,13,2,15
Hazard,1,24,74.68,66.52,83.89,73.63,13,1,14
Breathitt County,3,76,74.68,66.67,80.83,76.55,13,1,14
Meade County,6,192,74.53,78.55,75.33,69.7,10,4,14
Marshall County,6,194,74.51,70.98,81.13,71.43,9,4,12
Central,3,79,74.01,73.8,73.08,75.16,10,5,15
Corbin,2,47,73.08,68.72,76.88,73.66,11,2,13
Lone Oak,4,114,71.73,70.07,75.63,69.48,14,1,14
Warren East,4,117,71.68,76.03,71.65,67.35,11,3,14
Covington Catholic,5,171,71.63,79.06,67.95,67.89,5,7,9
Johnson Central,5,157,71.36,71.55,70.88,71.65,10,3,11
Green County,2,53,71.22,71.04,76.81,65.83,11,1,12
Lexington Christian,1,28,69.48,64.7,72.94,70.8,11,4,15
Metcalfe County,2,60,68.62,70.15,69.64,66.06,11,3,14
Pulaski County,5,156,68.5,69.39,74.66,61.44,10,2,12
Ryle,6,201,68.48,75.56,68.42,61.46,7,5,12
Russell,3,77,68.34,59.67,68.58,76.77,11,2,13
Shelby County,6,198,67.73,75.1,70.25,57.84,8,5,13
Lafayette,6,195,67.44,68.36,69.72,64.24,8,3,11
Ballard,6,205,65.99,77.56,64.99,55.42,6,6,12
Danville,2,48,65.94,67.48,62.97,67.39,9,3,12
Dixie Heights,5,165,65.82,76.44,65.52,55.5,6,5,11
Frankfort,1,19,65.21,61.26,66.86,67.49,11,3,14
Graves County,6,200,64.75,64.17,70.24,59.85,7,4,11
Daviess County,6,197,64.67,66.44,70.04,57.52,8,4,11
Anderson County,5,153,64.51,62.58,72.9,58.05,11,1,11
Woodford County,5,158,64.4,68.39,65.83,58.98,8,3,11
Franklin County,4,121,64.36,63.26,66.09,63.72,9,3,12
Fern Creek,6,196,64.26,73.14,68.15,51.5,8,4,12
Christian County,5,167,64.04,67.73,65.03,59.38,6,6,11
Pleasure Ridge Park,6,210,63.02,79.35,60.28,49.44,4,7,10
Warren Central,5,168,63,67.01,61.32,60.67,6,6,12
Madison Central,6,202,62.65,71.39,64.7,51.85,7,5,12
Letcher County Central,5,154,62.63,58.51,69.11,60.28,11,2,13
Harrison County,4,118,62.49,61.07,65.24,61.16,10,4,14
Somerset,3,82,62.47,62.72,62.5,62.18,9,4,13
Marion County,4,119,62.16,62.27,68.52,55.69,9,3,12
Eastern,6,199,61.7,73.87,65.66,45.57,7,4,11
Mayfield,1,31,61.3,56.85,64.56,62.49,9,4,13
Middlesboro,2,61,61.27,59,62.89,61.92,8,4,11
Sheldon Clark,3,81,60.75,56.73,64.09,61.44,9,3,11
Glasgow,2,52,60.63,62.25,63.85,55.78,8,3,11
Fairdale,4,122,60.46,63.03,62.93,55.42,9,4,13
Russellville,3,78,60.29,60.04,63.51,57.33,10,3,13
Campbell County,6,203,60.04,65.18,61.67,53.26,6,5,11
Mercer County,5,170,59.88,68.96,51.63,59.07,5,6,9
North Bullitt,4,123,59.56,66.53,57.62,54.54,8,5,13
Paducah Tilghman,3,84,58.9,61.42,56.15,59.13,9,5,14
Bardstown,2,42,58.87,69.29,50.52,56.8,6,7,13
Boyle County,4,131,58.25,68.6,51.74,54.42,5,7,12
Simon Kenton,6,204,57.66,60.55,59.52,52.9,6,5,11
South Laurel,5,166,57.59,60.89,58.41,53.49,6,5,11
Prestonsburg,2,69,57.55,57.11,58.47,57.07,9,4,13
Trigg County,2,73,57.51,53.67,60.45,58.41,9,4,13
Mason County,3,85,56.73,57.11,56.2,56.88,8,4,12
Owensboro Catholic,2,68,56.35,62.03,54.5,52.53,6,6,10
Bullitt East,4,130,56.28,67.61,53.24,47.99,5,6,11
Hopkinsville,5,174,55.73,61.49,54.74,50.96,4,7,11
Doss,5,162,55.69,55.99,58.81,52.26,7,5,12
Valley,4,120,55.64,57.61,56.75,52.57,9,3,12
Rockcastle County,4,127,55.12,59.84,50.79,54.74,6,6,12
Cumberland,1,14,55.05,54.21,59.47,51.47,8,4,12
Calloway County,4,124,54.75,58.94,59.39,45.92,7,5,12
Montgomery County,5,159,54.7,57.59,54.62,51.88,8,4,12
Pikeville,1,36,54.69,48.75,56.95,58.38,9,4,13
Fulton City,1,20,54.4,52.04,59.93,51.24,9,2,9
DeSales,2,49,53.61,56.31,51.48,53.03,8,6,13
Paul Laurence Dunbar,6,212,53.48,65.67,51.44,43.34,4,8,12
Clay County,5,163,53.18,57.11,53.6,48.82,7,5,12
Caldwell County,2,44,53,52.74,53.05,53.22,7,4,11
Dayton,1,15,52.93,52.07,56.63,50.08,8,3,11
Raceland,1,38,51.87,49.63,51.71,54.28,7,5,12
Elizabethtown,3,88,51.74,60.01,47.93,47.29,7,5,12
Nelson County,6,209,51.29,65.91,48.22,39.75,5,7,12
Oldham County,5,172,50.93,56.98,53.9,41.91,5,8,13
Madisonville-North Hopkins,6,206,50.76,56.66,52.23,43.38,5,5,10
Henderson County,6,218,50.72,56.75,46.65,48.77,2,9,9
Estill County,3,80,50.34,43.79,57.99,49.25,9,3,12
Central Hardin,6,207,50.16,62.44,48.7,39.34,5,5,10
Christian Academy-Louisville,2,46,50.12,54.12,52.64,43.6,8,4,12
