name,region,id,rating,massey,colley,elo,wins,losses,games_played
Boyle County,3,123,96.8,90.36,99.95,100.08,15,0,15
Trinity (Louisville),4,175,92.76,92.23,92.4,93.66,11,4,13
Danville,1,15,91.07,84.66,93.63,94.91,14,1,15
Paducah Tilghman,3,137,88.37,87.87,91.97,85.25,13,1,14
Highlands,3,109,84.06,82.29,87.92,81.97,12,3,15
St. Xavier,4,162,83.58,87.03,82.95,80.75,12,3,14
Mason County,3,150,83.32,79.92,87.41,82.63,12,2,14
Beechwood,1,1,81.16,79.15,84.15,80.19,13,2,14
Seneca,4,177,80.59,85.96,86.82,68.97,10,2,12
Ballard,4,178,79.63,83.89,84.44,70.57,9,4,13
Belfry,2,67,79.56,68.04,83.37,87.27,13,2,14
Newport Central Catholic,1,2,78.54,76.15,84.29,75.18,12,1,13
Paul Laurence Dunbar,4,203,78.5,81.23,80.61,73.67,10,4,14
Holy Cross (Louisville),1,16,78.46,77.3,81.13,76.95,12,1,13
Owensboro Catholic,2,80,77.91,76.83,79.85,77.06,13,1,13
Madison Central,4,202,77.18,77.72,81.61,72.19,11,2,13
Bowling Green,3,138,76.14,81.42,79.87,67.13,11,1,12
Warren Central,4,190,75.22,80.6,72.1,72.97,11,3,14
Hopkinsville,3,140,74.68,77.44,74.65,71.96,8,5,12
Male,4,165,74.37,75.34,72.92,74.84,9,4,13
Conner,4,176,73.72,77.43,79.76,63.95,10,1,10
Christian County,4,191,73.32,75.27,77.34,67.37,10,2,12
Mayfield,1,30,73.16,68.39,73.61,77.48,10,4,13
Henderson County,4,192,73.08,76.71,71.9,70.62,9,4,11
Pulaski County,3,124,72.95,72.27,75.35,71.24,11,2,13
Middlesboro,2,68,72.44,61.87,79.62,75.83,11,2,12
Corbin,2,56,71.95,73.89,72.38,69.59,10,3,13
Meade County,4,164,71.7,74.08,73.37,67.66,9,3,12
Elizabethtown,2,55,71.21,71.5,70.59,71.52,12,3,15
Lafayette,4,204,70.71,67.72,78.18,66.22,9,3,12
Lexington Catholic,3,113,70.38,74.07,73.26,63.79,7,5,9
Dixie Heights,4,179,70.33,73.47,71.8,65.73,8,3,11
Scott County,4,207,69.96,77.63,71.25,61,6,4,10
Henry Clay,4,206,69.89,75.36,70.49,63.81,7,5,12
Fort Campbell,2,81,69.85,73.63,72.25,63.66,11,2,12
Bell County,3,152,69.83,72.16,69.69,67.65,8,2,10
Rockcastle County,3,151,69.58,68.58,68.33,71.83,9,3,12
Butler,4,163,69.04,73.41,72.41,61.32,9,3,12
Ashland Blazer,3,153,68.88,67.52,71.58,67.53,8,5,12
East Jessamine,3,110,68.71,72.51,69.08,64.53,10,2,12
Russell,2,96,67.41,61.37,72.2,68.66,10,3,13
Lloyd Memorial,2,97,66.83,65.67,66.88,67.95,9,5,14
Metcalfe County,1,29,65.52,62.09,69.93,64.52,12,1,13
Oldham County,3,111,65.39,68.77,66.93,60.48,8,5,13
Trigg County,2,82,65.13,67.13,65.88,62.36,9,3,12
Breathitt County,2,69,63.95,57.25,65.58,69.01,8,3,9
Lawrence County,3,154,63.83,70.52,64.13,56.84,7,4,9
Boone County,4,181,63.66,68.94,62.58,59.45,6,5,10
Boyd County,3,161,63.44,66.76,63.97,59.58,5,7,10
Bethlehem,1,17,63.04,58.18,70.07,60.85,9,2,11
Fairview,1,14,62.92,62.37,69.1,57.3,11,1,10
Glasgow,2,83,62.83,60.74,64.64,63.11,9,3,12
Carroll County,1,19,62.62,60.38,65.7,61.79,9,3,12
Hopkins County Central,3,139,61,58.57,65.07,59.35,8,4,12
Somerset,1,41,60.88,57.13,64.36,61.15,9,3,12
Holy Cross (Covington),1,4,60.83,64.73,64.75,53.02,7,5,11
Nelson County,4,166,60.75,68.98,60.31,52.95,6,5,11
Tates Creek,4,209,60.66,71.12,61.6,49.24,6,5,11
Central,3,126,60.51,66.93,62.26,52.33,8,3,11
Waggener,3,125,60.07,67.37,60.61,52.22,9,3,11
Southern,4,180,59.76,67.1,64.02,48.16,6,4,10
Bullitt East,3,127,59.2,64.37,55.54,57.69,7,4,11
Garrard County,2,58,59.06,56.89,64.99,55.31,9,3,12
Frankfort,1,18,58.69,53.65,66.54,55.88,9,3,12
DuPont Manual,4,169,57.65,72,51.64,49.31,4,6,10
Sheldon Clark,2,71,57.62,54.96,60.35,57.55,8,4,11
Shelby County,4,183,57.24,66.4,59.27,46.06,5,7,12
East Carter,2,108,56.43,57.16,61.13,51.01,8,4,12
Murray,1,31,56.24,57.98,56.05,54.68,9,3,10
Whitesburg,2,70,56.21,54.12,59.14,55.36,8,3,10
Hazard,1,40,56.17,49.59,60.12,58.79,10,2,12
Fleming County,2,99,56.11,52.11,61.61,54.61,8,4,12
Pikeville,1,42,55.75,50.3,56.64,60.32,9,4,12
Western,2,57,54.95,55.77,57.35,51.74,9,3,12
John Hardin,4,167,54.86,65.37,54.32,44.88,6,5,11
Estill County,2,98,54.62,53.09,60.1,50.68,8,3,11
Heath,2,84,54.52,57.09,56.89,49.56,8,3,10
Whitley County,4,205,54.37,57.9,57.66,47.57,7,3,10
Lynn Camp,1,43,53.95,51.16,54.56,56.14,9,5,14
Covington Catholic,3,120,53.63,70.27,45.98,44.66,3,8,9
Ohio County,4,193,53.34,63.55,51.27,45.19,6,5,11
George Rogers Clark,4,208,53.22,59.09,54.62,45.94,6,5,11
Graves County,4,198,53.17,64.69,49.5,45.31,4,8,11
Pleasure Ridge Park,4,168,53.16,64.43,49.53,45.5,5,6,11
Monroe County,2,95,52.66,56.32,52.15,49.51,7,4,10
South Oldham,3,115,52.46,64.23,51.49,41.67,5,6,11
Hancock County,1,32,52.33,57.7,49.89,49.41,8,4,12
Harrodsburg,1,20,51.81,53.56,55.19,46.68,7,4,11
North Laurel,4,215,51.28,55.11,55.43,43.3,6,5,11
Christian Academy-Louisville,1,22,51.16,52.3,47.94,53.24,6,5,11
Adair County,3,141,50.98,53.93,54.08,44.94,7,4,11
North Hardin,4,171,50.59,60.76,45.58,45.43,4,7,11
Ryle,4,182,50.56,57.28,49.37,45.04,5,6,10
South Laurel,4,210,50.42,55.29,55.35,40.61,6,5,11
Southwestern,3,131,50.26,56.2,49.04,45.53,4,8,12
Butler County,2,85,49.73,51.24,52.35,45.62,7,4,11
Eastern,4,187,49.63,60.69,46.15,42.03,3,7,10
Lexington Christian,1,3,49.3,53.85,52.62,41.44,8,3,11
Apollo,4,197,49.18,61.54,44.87,41.14,4,7,11
